Model,Accuracy,95% CI,Precision,Recall,F1-Score,ROUGE-1,ROUGE-2,ROUGE-L
Gemma 1B,43.5%,(39.6% - 47.4%),0.17,0.69,0.27,0.257,0.065,0.129
Gemma 4B,83.2%,(80.3% - 86.2%),0.47,0.84,0.60,0.380,0.131,0.203
Gemma 12B,90.1%,(87.7% - 92.4%),0.62,0.89,0.73,0.438,0.162,0.248
Llama 3.1 8B,92.3%,(90.2% - 94.4%),0.88,0.57,0.69,0.329,0.121,0.184
