Model,Accuracy,95% CI,Precision,Recall,F1-Score,ROUGE-1,ROUGE-2,ROUGE-L
Gemma 1B,43.3%,(39.4% - 47.2%),0.23,0.75,0.36,0.285,0.067,0.143
Gemma 4B,74.8%,(71.3% - 78.2%),0.45,0.92,0.61,0.419,0.135,0.218
Gemma 12B,88.3%,(85.7% - 90.8%),0.65,0.95,0.77,0.466,0.165,0.254
Llama 3.1 8B,90.7%,(88.4% - 93.0%),0.93,0.60,0.73,0.352,0.117,0.196
